rfp_title,biz_domain,detail_desc
PMO 및 감리,PMO/QC,"○ 사업자는 통합사업을 추진함에 있어 각호 사항은 감리(상주)의 검토의견을 받아 적용한 후 발주기관에 제출하여야 함.
- 정기보고(주/월간 보고 등), 비정기보고(착수, 단계별 중간보고, 완료보고 등), 기타 보고(이슈/위험 보고 및 조정 등)
- 사업수행계획서, 구축계획서, 구축결과서
- 통합대상 기관 요구사항 정의 및 검토결과 등 요구사항 관리 관련 산출물
- 일정관리, 성과관리, 품질관리 관련 산출물 
- 검사 산출물 등 모든 산출물
- 법_제도 관련 준수 등 기타 발주기관이 요구하는 사항"
데이터 표준화 지침,PMO/QC,"○ 기준정보를 관리하기 위하여 코드관리체계, 표준화 방안을 수립
○ 용어, 코드, 도메인 표준화, 표준화 규칙을 수립
○ 행정업무용 표준코드가 존재하는 경우 행정정보데이터베이스 표준화 지침(행정안전부 고시)을 활용"
데이터 표준화 지침,PMO/QC,○ 내·외부의 데이터에 대한 품질관리 방안을 마련
데이터 표준화 지침,PMO/QC,○ 행정정보공동활용에 필요한 연계 정보항목 및 연계절차는 정부디렉토리서비스(LDAP) 연계 표준을 준용함
데이터 표준화 지침,PMO/QC,"○ KS, TTA 표준규격을 참조하여 DB설계 및 분석정보 표준모델을 작성"
기술적용계획표 및 결과표 작성,PMO/QC,"○ 감사원이 제시한 기술적용계획표를 검토ㆍ준수하여야 하며, 결과표 작성 방안을 제시
- 기술적용계획표의 기술표준이 본 사업에 부합하는지 검토하여야 하며, 변경이 필요한 경우 타당한 사유를 제시하여 감사원과 협의하여 조정
○ 기술적용계획표 검토 시 부득이한 경우를 제외하고는 특정 기술에 종속되지 않는 개방형 기술로 구현하도록 검토
○ 제안사는 계약체결 후 사업수행계획서 제출 시 기술적용계획 및 결과표를 첨부하여 감사원의 검토를 받아야 함"
개인정보보호법 준수,PMO/QC,"○ 개인정보보호 관련 법령과 규정을 충실히 이행할 수 있도록 개발
- 시스템을 통해 수집ㆍ보유ㆍ활용되는 개인정보 유형을 파악하고 개인정보 보호대책에 따라 개발 
- 개인정보 열람ㆍ조회 시 접근이력을 기록하고 필요 시 사유를 입력
- 개인정보 열람ㆍ조회에 대한 이력관리 통계 또는 조회 화면을 제공
- 개인정보 중 고유식별정보에 대하여 암호화ㆍ복호화를 제공
- 관련된 정보의 접근, 열람, 저장 등의 모든 로그를 저장 관리
* 필요 시 개인정보영향평가 수행"
개인정보보호법 준수,공통기반,"○ 데이터의 보안 강화를 위하여 SSL 서비스를 적용
* 제안사는 개인정보 및 보안 관련하여 도입되는 상용 SW와 연계하여 개발"
웹 표준 및 호환성 지침 준수,UI/UX,"○ 구현되는 시스템은 운영체제, 웹브라우저의 종류 및 버전에 의존하지 않고 최소 3개 이상의 브라우저에서 정상적으로 실행이 가능하도록 최신 웹표준을 준수
- 웹 표준은 국제웹표준화기구(W3C)에서 정한 표준을 적용
- 통용되는 웹브라우저의 최근 3년 이내의 모든 버전에서 완벽하게 구동"
웹 표준 및 호환성 지침 준수,UI/UX,"○ 웹 호환성 확보를 위하여 _전자정부서비스 호환성 준수지침_(행안부 고시)을 준수
○ 웹 접근성 및 호환성을 진단하고 조치
- 한국형 웹 콘텐츠 접근성 지침 2.1을 준수
- 웹 접근성 품질인증 심사가이드(한국지능정보사회진흥원)를 준수
- 웹 호환성 및 모바일 전자정부서비스 웹호환성을 확보
- 웹 접근성 품질마크(한국지능정보사회진흥원), 웹 접근성 우수사이트(한국 장애인인권포럼), 웹 접근성 인증마크(한국웹접근성평가원), 웹 접근성 품질마크(한국웹접근성평가센터) 중 1개의 인증(품질)마크 획득
- 무상 하자보수 기간 내에 인증서를 획득하여 제출"
시큐어코딩 준수,공통기반,"○ 시큐어코딩 및 SW 개발보안을 적용
- 기능개발 시 소프트웨어 개발보안 가이드, 점검 시 소프트웨어 보안취약점 진단 가이드를 준수
- 초기개발 단계부터 소프트웨어 개발보안 가이드를 적용하여 모든 응용소프트웨어를 개발
- 국가정보원 및 OWASP Top 웹 보안취약점을 사전 검검하여 제거
- 상용 SW를 통한 시큐어코딩 결과보고서를 제출"
웹 표준 및 호환성 지침 준수,UI/UX,"○ 전자정부프레임워크 기반(기획, 설계, 테스트, 운영 전 분야)으로 개발
○ 시스템 확장성 및 유지관리 효율성을 확보하고 행정안전부표준프레임워크 정립
  - 과업 착수 전 공표된 최신 버전 적용이 가능할 경우 업그레이드 실시"
웹 표준 및 호환성 지침 준수,UI/UX,○ 개발된 소프트웨어는 공통컴포넌트 수준의 개발표준을 준수하여 시스템 교체 등의 다양한 디바이스 환경에 일관성 있는 서비스 제공
웹 표준 및 호환성 지침 준수,UI/UX,○ 인터넷 홈페이지는 장애인의 접근성 보장을 위하여 _장애인차별금지법_에 따른 웹 접근성 준수를 위해 _한국형 웹 콘텐츠 접근성 지침_을 참고하여 개발
데이터 사용 및 접근 제약사항,PMO/QC,○ 허가된 사용자에 한하여 DBMS 접근 및 사용을 제한함
개발언어 사용,공통기반,"○ 제조사의 지속적인 기술지원이 가능한 개발 툴 및 언어를 사용하여야 하며, 유지관리 용이성을 위하여 가급적 JAVA, .NET 등 범용적으로 사용하고 있는 언어 선정
○ 기술지원 및 유지관리 용이성 등을 고려한 개발언어를 협의하여 선정"
기존 시스템 호환,공통기반,"○ 기존 시스템 운영에 영향을 주지 않는 시스템을 구현
- 기 운영되고 있는 시스템 구조 및 전체 표준과 호환성, 시스템 통합 및 분산설계, 데이터 유형, 프로세스 환경 유형, 사용자 유형, 시스템 간 물리적 네트워크 연결구성을 고려하여 구조를 설계
- 기존 VDI 및 5G 환경과 100% 호환되어야 하고, 100% 호환 불가 시 사업금액 내 동종 기능 및 성능을 제공하는 제품으로 대체"
규정 변경에 따른 시스템 구현,공통기반,"○ 시스템 구축 기간 내 적용 법령, 규정, 지침 등 변경 시 변경된 규정을 반영하여 시스템을 개발
* 규정에 대한 적용 시점을 고려하여 감사원과 협의"
정보보호제품 준수사항,PMO/QC,"○ 정보보호제품은 국정원 보안적합성 검증체계에 따른 도입요건(CC인증 또는 보안기능확인서 등)에 만족하는 제품이어야 하며, 암호모듈 검증 대상제품은 검증필 암호모듈 탑재제품이어야 함
○ 제품 납품 시 CC인증제품 목록 및 국가용 암호제품 목록에 기재된 제품명칭, 버전 등과 완전하게 일치된 제품이어야 하며, 감사원에 납품하는 제품과 인증 받은 제품이 동일함을 보장하는 대표명의 “인증필 정보보호제품 납품확인서”를 제출
○ 제안사는 취약점 또는 기능적 결함 등이 발견되어 정보보호제품의 SW패치 또는 HW 사양을 변경하는 경우, 납품한 동 제품의 취약점 및 결함을 즉시 보완하고, 변경 후 수일 이내에 변경된 사양으로 재인증 추진 등 관련사항을 조치
○ 제안사는 감사원에서 국가 전문기관의 보안적합성 사후검증을 받을 경우, 필요한 모든 기술적_절차적 지원을 수행
○ 제안사는 구성 사양 및 보안모듈 변경 등에 따른 재인증 및 감사원의 대체장비 변경 납품 요청에 응하여야 함"
기초 데이터 구축 및 입력 데이터 요구사항,데이터구축및이관,"○ 입력 및 검증 작업 과정을 표준화하고, 이에 필요한 사항은 검증리스트를 통해 검증함으로써, 결과 데이터의 고품질을 확보
○ 제안사는 입력 및 검증 작업 과정을 표준화하고, 이에 필요한 사항은 검증리스트를 통해 검증함으로써, 최소 3단계 점검을 통한 결과 산출물의 고품질(99.99% 이상)을 확보
  - 1단계: DB 작업자에 의한 전수 검수
  - 2단계: 주관제안사 검수팀에 의한 전수 검수
  - 3단계: 주관기관에서 월간 단위 검수를 통한 피드백"
기초 데이터 구축 및 입력 데이터 요구사항,데이터구축및이관,○ 감사원에 대한 각종 표준코드체계 적용 및 매핑
기초 데이터 구축 및 입력 데이터 요구사항,데이터구축및이관,○ 전산번호 등 주요 키와 이력정보 조회에 필요한 주요 관리코드 적용 및 관련 초기 데이터 구축
DB 설계 요구사항,데이터구축및이관,"○ 행안부, 감사원 데이터 표준에 적합하도록 표준단어, 표준용어, 표준도메인, 표준코드를 적용하고 관리절차를 준수
  - 표준조회, 표준 변경/추가 요청시 메타관리시스템을 통해 승인요청
  - 표준검토를 위해 논리 및 물리모델을 감사원 메타관리시스템에 등록"
DB 설계 요구사항,데이터구축및이관,"○ DB 구조의 설계는 관련 업무처리 절차를 반영하여 유기적으로 구조화하고 향후 업무 변동에 따른 확장성을 충분히 고려
○ 데이터의 정합성을 유지하면서 시스템의 성능을 저하시키지 않도록 DB 설계가 되어야 하며, "
DB 설계 요구사항,데이터구축및이관,"DB 전문인력(DAP, ADP 등 데이터 관련 자격증 보유자) 및 데이터 설계 전문가를 통해 이에 대한 검증 실시"
DB 설계 요구사항,데이터구축및이관,○ DB 성능을 고려한 암호화 구현 방식 설계
DB 설계 요구사항,데이터구축및이관,"○ 행정정보 데이터베이스 표준화 지침 및 공공데이터 품질관리 매뉴얼의 내용을 준수하여 DB를 설계
< 관련 지침 준수_이행 > 
※ 데이터 품질관리·표준화 관련 규정
- 공공데이터 관리지침(행안부 고시)
- 공공기관의 데이터베이스 표준화 지침(행안부 고시)
- 행정기관 코드표준화 추진지침(행안부 고시)
- 공공데이터 품질관리 매뉴얼(행안부 고시)
- 공공데이터 관리지침(행안부 고시)
- 행정기관 및 공공기관 정보시스템의 구축/운영 지침(행안부 고시)
- 정보기술아키텍처 도입/운영지침(행안부 고시)
- 공공데이터 공통표준용어(행안부 고시)
※ 단, 패키지 소프트웨어 구축 시에는 표준 제외 
※ 완료산출물 제출 시 갱신된 프로그램 소스도 같이 제출하여 검토"
DB 설계 요구사항,데이터구축및이관,○ DB 설계 후 감사원 표준 준수 적합성 검토를 위해 담당부서의 심의를 거친 후 개발 착수
데이터 무결성,데이터구축및이관,"○ DB 세부항목 정합성 심층 분석 및 정제
- 정합성 규칙 작성, 데이터 분석·정제·관리 등 개선 방안 도출 및 데이터 정비/정제(품질점검 결과 반영)"
데이터 표준 준수,데이터구축및이관,"○ DB 개발 표준 정의서 작성 후 이를 준용하여 개발
○ 서비스 구현 과정에서 개발 표준 변경이 요구될 경우 감사원과 협의하여 개발표준 정의서 개정 작업을 실시"
데이터 표준 준수,데이터구축및이관,○ _행정기관의 코드표준화 추진 지침_(행정안전부고시) 준수
데이터 표준 준수,데이터구축및이관,"<데이터 구조 관리>
○ 제안사는 정보시스템의 DB설계 시 _공공기관의 데이터베이스 표준화 지침 등_의 관련 지침에 근거하여 정보시스템의 DB에 부합하는 산출물을 작성 
- 데이터관련 산출물 변경이 발생하는 경우 관련 규정을 준수하여 산출물을 변경하고 현행화

<공공데이터 구조 산출물>
1. 데이터사전 정의서
2. 코드정의서
3. 도메인정의서
4. 엔터티(개체)정의서
5. 애트리뷰트(속성)정의서
6. 논리데이터모델다이어그램
7. 테이블정의서
8. 컬럼정의서
9. 물리데이터모델 다이어그램
10. 데이터베이스 정의서
11. 연계데이터 목록
12. 상관관계모델(CRUD 정의서)
13. 그 밖의 공공데이터베이스 관리에 필요한 산출물"
데이터 표준 준수,데이터구축및이관,"○ DB의 효율적 운영 관리 및 공간 낭비 방지를 위하여 테이블 및 컬럼 등의 중복을 최소화, 공동 활용이 가능한 유연하고 확장성 있는 설계
- 데이터의 정합성을 유지하면서 시스템의 성능을 저하시키지 않도록 설계"
데이터 표준 준수,데이터구축및이관,"<메타데이터 관리>
○ 제안사는 _공공기관의 데이터베이스 표준화 지침_에 근거하여 메타데이터 표준 관리 항목의 최신성을 유지
- 메타데이터 표준 관리항목 정의서를 참조(미보유 시 작성)하여 행정안전부 기관 메타시스템 등록(현행화)에 필요한 기술적 사항이나 감사원이 요구하는 사항을 적극 지원"
데이터 표준 준수,데이터구축및이관,"<데이터 제공 및 운영 지원>
○ 제안사는 _공공데이터 제공 및 이용 활성화에 관한 법률_에 따라 데이터 제공 및 운영에 따른 단계별 수행 활동이 필요한 경우 지원
- 공공데이터 개방 및 제공이 필요할 경우 데이터(파일/API)를 생성 또는 현행화를 지원"
데이터 표준 준수,데이터구축및이관,"○ 제안사는 _공공기관의 데이터베이스 표준화 지침_에 따라 데이터 표준화 점검 및 조치 활동을 정기적으로 수행
- 데이터 품질수준 평가에 필요한 진단 활동 및 산출물 작성을 지원
- 데이터의 오류를 진단하고 결과 보고 및 개선 활동을 지원
- 작업을 문서화하고 향후 운영 가이드를 제공"
데이터 표준 준수,데이터구축및이관,- 무상하자보수 기간(검수 후 1년)에 DB 구조 변경 시 업데이트 지원
DB설계 및 튜닝 전문인력 투입,데이터구축및이관,"○ DB의 안정적인 성능 유지를 위한 품질관리 방안을 제시
- DB설계/튜닝 전문인력 투입계획
- 투입기간, 투입규모 등"
DB설계 및 튜닝 전문인력 투입,데이터구축및이관,"○ DB 성능진단 및 튜닝요소 도출
- 효율 및 응답속도 등을 최적의 상태로 유지하기 위한 성능개선 수행
- 시스템 분석 및 성능 비효율 유형 조사 등 성능 분석을 통해 문제점을 찾아 개선하기 위한 절차와 방법 수행
- DBMS 자원현황 및 효율 분석 수행
- 인덱스 영향도 분석을 포함한 DBMS 성능 개선 및 DBMS 자원 최적화 수행
○ 구축 후 우려되는 성능저하 등의 부작용 해결방안 제시
- DBMS, 데이터 모델링, 주 성능 저하 SQL 등 다양한 각도에서 DB 튜닝 실시
○ 변경되는 DB의 성능품질 확보를 위해 설계모델의 표준용어 사용, 정규화/반정규화, Index설계, SQL 문의 최적화 등을 수행
○ 변경 후 DB의 성능 유지방안을 제시(인덱스 조정 등)
○ 성능 이슈가 발생할 수 있는 대용량 테이블을 기준에 따라 선정하고 업무성능을 개선할 수 있는 최적 파티셔닝 등 DB오브젝트 설계 검토
- 파티션 결정 시 PK, 사용자 수, 성능 이슈 발생여부 등을 분석하여 파티션 대상 및 유형을 결정
* 문제되는 쿼리 사전 발견 및 튜닝 방안 제시"
DB설계 및 튜닝 전문인력 투입,데이터구축및이관,"○ 구축 후 우려되는 성능저하 등의 부작용 해결방안 제시
- 개발기간 중 매월 성능 하위 50개 SQL문에 대한 튜닝 실시 및 결과내역 제출 
○ 온라인 트랜잭션 처리, 대량 데이터, 배치데이터, 집계성 등 데이터 활용 유형을 고려한 SQL 튜닝 실시"
DB설계 및 튜닝 전문인력 투입,데이터구축및이관,○ 실행된 SQL에 대한 이력관리
초기자료 구축,데이터구축및이관,"○ 시스템 테스트, 사용자 교육, 시험 및 시범운영 등을 위한 초기 데이터 구축
- 시스템 테스트, 교육, 시험 및 시범운영을 위해 필요한 초기자료 구축 내역과 구축방안을 업무 분야, 시스템별 등으로 제시(자료의 대상 및 규모, 전체적 일정계획 수립, 초기 자료 구축 담당자별 책임과 역할)
- 사용자 교육을 위한 교육용 시스템의 초기 데이터 구축방안 제시
- 구축자료의 검증항목, 검증 방안 및 검증 주체를 명확히 제시
- 사전에 충분한 자료 확보 및 확보된 자료의 이상 유무 확인
- 구축 전, 사전 교육 진행 및 입력 프로그램에 의한 데이터 입력
- 필요 시, 입력 단위팀별로 우선순위, 일정 수립 후 일정계획에 의한 자료 구축"
초기자료 구축 고려사항,데이터구축및이관,"○ 시스템 테스트, 사용자 교육, 시범운영, 가동 등을 수행하기 위하여 감사원의 업무 특성을 고려한 초기 데이터를 구축
- 초기 데이터 구축 대상, 일정, 방법 등을 포함한 초기 데이터 구축 방안 제시"
이행대상 시스템,데이터구축및이관,"○ 업무영역별 데이터 이행 대상 시스템의 업무영역은 다음과 같음
  - 응용시스템
  ·OASYS 영역: 부서업무, 감사지식, 기획조정, 인사운영, 전산, 교육, 연구, 고유업무 등
  ·전자감사 영역: 감사자료, 실지감사, 감사청구, 심사, 감사제보, 재심의, 감사지원 등
* 데이터 이행 대상시스템은 조정될 수 있음"
이행대상 시스템,데이터구축및이관,"  - 파일관리시스템: 10Tb 

2024. 12월 기준 
업무영역, 자료유형 
오아시스 등 지원업무, ""- 감사보고서(~ 2016년), - 게시물 첨부파일 등""
전자감사, 감사보고서 및 증거서류 등 (2017년 ~)
업무자료실, 감사 및 부서·개인자료 등
* 데이터 이행 대상시스템은 조정될 수 있음"
데이터 이관 계획 수립 및 요건 정의(분석단계),데이터구축및이관,"○ 데이터 이관을 수행하기 위한 계획을 수립하고, 각 단계(분석, 설계, 개발, 테스트, 이행, 안정화)에서 고려해야 할 사항들을 구체적으로 제시"
데이터 이관 환경 준비,데이터구축및이관,"○ 프로그램 개발 및 테스트, 데이터 이관을 위한 환경을 구축
- 목표시스템의 기술적 구성(HW, SW 등), AS-IS 및 TO-BE DB 구성 등을 분석하여 단계별* 최적의 환경을 구축
* 단위/통합/사용자 테스트, 시험운영, 시범운영, 운영환경
- TO-BE 운영시스템 내에서 테스트 등 이관준비 작업이 이뤄질 수 있도록 하고, 필요 시 별도 시스템을 추가하여 이관 작업을 지원
○ 환경 구축과 관련된 사항은 제안사가 제시하여야 하며, 제시된 사항을 감사원과 협의하여 결정
○ 데이터 이관 환경 준비
- 제안사는 이관_검증 프로그램(본 사업 범위)을 통해 기존 데이터 이관을 수행
- 데이터 이관 기간 동안, 필요한 경우 이관 도구는 제안사가 지원
- 데이터 이관 및 재이관 필요 시 작업에 필요한 임시 스토리지는 제안사가 제공
- 데이터 이관 시 과부하 발생이나 보안문제 등이 발생되지 않아야 하며 안정적 운영에 문제가 없도록 사업을 수행
- 이관팀을 구성하고 업무팀과 수·발주기관간 이관업무 역할을 지정함
* 데이터 정제, 매핑정의서 작성, 데이터추출·변환, 적재, 정합성 검증 등
- 이관 매핑 설계를 기반으로 이관 테스트 및 이관 리허설 계획 수립
- 반복적인 이관 테스트를 통해 목표 시간 내에 이행되도록 최적의 이관 시나리오 및 방안 마련"
데이터 이관 환경 준비,데이터구축및이관,"○ 데이터 품질진단 및 표준화 결과(사전 정비/정제 데이터)를 이관대상 데이터에 반영하여 이관 
- 오류(비표준 등) 데이터의 직접 수정은 최대한 지양하되, 불가피한 수정 시 대상 리스트를 작성하여야 하며, 수정 후 변경이력 리스트를 작성하고 문제 발생 시 원상 복구 실시 
- 오류(비표준) 데이터의 수정은 감사원의 사전 검토 및 의견을 반영하여 수행 
- 데이터의 정비/정제 대상 데이터 및 정비/정제 방안(오류 유형별 정제 방안 등)을 제시 
- 현행"
데이터 이관 환경 준비,데이터구축및이관,"○ 데이터 이관 SW개발 및 데이터 이관과정에서 자료 유출·오남용 방지를 위한 인적, 관리적, 물리적, 기술적 보안대책을 제시"
데이터 이관(이행) 및 검증 프로그램 개발,데이터구축및이관,"○ 데이터 이관 개발환경 구축
- 데이터 이관 프로그램(자동화 도구), 데이터 보완 및 검증 프로그램을 개발
- 데이터 이관 프로그램(자동화 도구)은 세부적(기관, 연도, 업무종류, 테이블, 속성별)으로 선택해서 이관할 수 있도록 개발
- 제안사는 현 OASYS, 전자감사관리시스템 등의 DB암호화 요건이 적용된 테이블, 컬럼 등에 대한 암호화 적용 대책을 강구
- 매핑정의서 등 매핑정보를 메타데이터 관리시스템에 등록 관리
- 이관대상 시스템_테이블을 정의하고 데이터 이관대상 및 미이관 대상을 결정
- 이관 대상 시스템, 테이블, 운영환경 등을 검토하여 최종 이관 방안 수립
- 이관 적재 상황_진척율 등을 관리하고 모니터링 및 보고할 수 있는 방안 마련
- 이관데이터의 정합성을 확보
- 이관은 12 시간내에 완료"
데이터 이관(이행) 및 검증 프로그램 개발,데이터구축및이관,"○ 데이터 이관 개발환경 구축
- 제안사는 현 OASYS, 전자감사관리시스템 등의 DB암호화 요건이 적용된 테이블, 컬럼 등에 대한 암호화 적용 대책을 강구
- 매핑정의서 등 매핑정보를 메타데이터 관리시스템에 등록 관리
- 이관대상 시스템_테이블을 정의하고 데이터 이관대상 및 미이관 대상을 결정
- 이관 대상 시스템, 테이블, 운영환경 등을 검토하여 최종 이관 방안 수립
- 이관 적재 상황_진척율 등을 관리하고 모니터링 및 보고할 수 있는 방안 마련
- 이관데이터의 정합성을 확보
- 이관은 12 시간내에 완료
○ 데이터 이관을 위한 개발 환경 및 테스트 환경 구축은 본 사업에서 도입된 정보자원을 활용하되, 필요한 경우 개발환경 및 테스트 환경 구축에 필요한 정보자원을 제안사가 부담하여 구성"
데이터 이관 프로그램 테스트,데이터구축및이관,"○ 데이터 이관 프로그램 유효성 검증
- 제안사는 자체 테스트 데이터로 데이터 이관 프로그램 유효성 검증 및 디버깅하여 안정성을 검증
- 반복적인 테스트를 통한 데이터 정합성을 확보
- 운영시스템과 동일한 환경에서 데이터 추출, 변환, 검증, 적재 작업 등 데이터 이관에 대한 지속적인 테스트를 거쳐 이관 작업 절차 확립
- 업무, 시스템, 대내/대외 간 유기적인 연계가 정상 작동하는지 검증하기 위한 통합테스트용 초기 데이터 구축 
- 성능, 대용량 데이터 테스트 등의 시스템 테스트를 위한 초기 데이터 구축
- 품질목표를 달성하는지 검증하기 위한 사용자 테스트용 초기 데이터 구축
- 업무담당자 및 시스템 운영자에 의하여 실시되는 시험 운영용 초기 데이터 구축
- 테스트 결과 오류는 이관 프로그램 수정으로 테스트를 수행하여 안정성을 검증
○ 데이터 이관 시 메타데이터 관리 시스템에 등록된 코드 매핑 정보를 적용하여 코드변환 작업을 수행 "
데이터 이관 프로그램 테스트,데이터구축및이관,"○ 실 운영에서 발생할 수 있는 연계관련 오류, SQL 성능문제 등 사전 검증을 위하여 개발, 테스트, 검증 등에 가상 데이터를 구축
- 테스트 데이터 생성 솔루션을 이용하여 개인정보를 식별할 수 없도록 가상 데이터를 생성하고 테이블간 데이터 정합성이 유지되도록 구축"
데이터 이관 프로그램 테스트,데이터구축및이관,○ 데이터 이관 프로그램 유효성 검증 테스트 결과가 포함된 결과보고서를 감사원에 제출
데이터 이관,데이터구축및이관,"○ 데이터 이관 시나리오 제시 
- 1단계: 내부 행정업무를 대상으로 테스트 이관 및 디버깅 
- 2단계: 감사업무를 대상으로 선행 이관 및 디버깅, 사업자 이관 검증 
- 3단계: 전체 자료를 대상으로 이관 테스트 및 자료 사업자 검증(일부 기관 사용자 전수 검증 병행) 및 디버깅 
- 4단계: 실제 이관 및 전체 사용자 검증"
데이터 이관,데이터구축및이관,"○ 데이터 이관 
- 문서 속성(메타데이터) 포함하여 이관 
- 이관작업 후 파일과 속성정보 매핑 처리 
- 임시 이관, 실제 이관: 전체 자료를 대상으로 동일 기간 내 동시 진행 
- 실제 이관은 업무중단을 최소화하고 신속히 이관하는 방안을 제시"
데이터 이관,데이터구축및이관,"○ 단계별 이관 결과보고서를 제출(이관 건수 통계, 오류 사항·유형·리스트·유형분석·수정방안 등)"
